image_path,xmin,ymin,xmax,ymax,label
Flora Pluas RGB_13_7600_11400_11600_15400.png,2621.227295,405.3957214,2871.12793,655.3220215,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,3006.019043,2424.868652,3463.020996,2946.218262,Tree
Flora Pluas RGB_7_3800_7600_7800_11600.png,3514.419922,40.53413391,3894.743896,420.3477173,Tree
Flora Pluas RGB_15_11400_0_15400_4000.png,843.6200562,2297.469238,1113.048462,2576.208496,Tree
Carlos Vera Arteaga RGB_12_11297_0_15297_4000.png,1015.295227,3798.496582,1339.086914,3990.674561,Tree
Manuel Macias RGB_7_7600_3800_11600_7800.png,765.7937622,501.2868042,1230.653809,992.9353027,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3627.218018,2864.900635,3990.089844,3537.938721,Tree
Carlos Vera Guevara RGB_0_0_0_4000_4000.png,3537.378418,898.1207886,3702.138916,1063.724609,Tree
Nestor Macias RGB_9_7600_3800_11600_7800.png,49.19292068,663.963562,333.2178345,946.1974487,Tree
Carlos Vera Arteaga RGB_13_11297_3800_15297_7800.png,957.8497314,2017.203613,1141.475464,2194.424805,Tree
Carlos Vera Arteaga RGB_2_0_7600_4000_11600.png,147.9881592,2172.732422,401.0161133,2450.816406,Tree
Leonor Aspiazu RGB_9_7600_3800_11600_7800.png,3120.746338,715.0375977,3377.862305,960.0958252,Tree
Flora Pluas RGB_5_3800_0_7800_4000.png,1884.676514,1837.379883,2244.341797,2214.689941,Tree
Leonor Aspiazu RGB_10_7600_7600_11600_11600.png,2162.487793,778.8822632,2465.630615,1022.978455,Tree
Carlos Vera Guevara RGB_6_3800_7600_7800_11600.png,3029.302246,141.9027863,3337.637207,458.5997925,Tree
Nestor Macias RGB_11_7600_9024_11600_13024.png,340.2051392,2567.442627,702.5776367,2962.91748,Tree
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,254.1567841,2117.863525,446.400177,2300.834717,Tree
Manuel Macias RGB_5_3800_6879_7800_10879.png,2560.738281,239.3020935,2811.202881,493.1777039,Tree
Flora Pluas RGB_12_7600_7600_11600_11600.png,976.2792969,3813.088379,1154.992554,3996.203369,Tree
Nestor Macias RGB_6_3800_7600_7800_11600.png,498.7389832,2534.591064,710.4078979,2728.023438,Tree
Flora Pluas RGB_21_12782_3800_16782_7800.png,1569.32605,2773.114502,1817.884644,3023.368896,Tree
Flora Pluas RGB_11_7600_3800_11600_7800.png,2932.170654,2443.404541,3320.43335,2816.477539,Tree
Nestor Macias RGB_10_7600_7600_11600_11600.png,425.7447815,701.020874,820.6431274,1125.309692,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,1122.539185,1562.666382,1303.572754,1745.656128,Tree
Flora Pluas RGB_16_11400_3800_15400_7800.png,3469.30957,2506.649414,3699.971191,2739.793945,Tree
Manuel Macias RGB_3_3800_0_7800_4000.png,3023.397217,2224.552979,3271.701904,2503.781738,Tree
Leonor Aspiazu RGB_3_0_9855_4000_13855.png,3084.615234,1622.846069,3560.595703,2160.181885,Tree
Manuel Macias RGB_11_9748_6879_13748_10879.png,677.3922119,1003.622253,973.6713257,1290.053101,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,2150.641846,2607.253662,2393.106201,2835.415283,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,587.3496094,271.0842285,840.6694336,514.7373657,Tree
Nestor Macias RGB_4_3800_0_7800_4000.png,3309.378662,3439.985352,3631.541748,3787.365479,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,2111.655273,1907.296997,2344.249023,2130.798096,Tree
Leonor Aspiazu RGB_3_0_9855_4000_13855.png,2501.19751,1323.782227,2807.438965,1666.97937,Tree
Manuel Macias RGB_1_0_3800_4000_7800.png,2661.603027,2033.770386,2868.145508,2249.617188,Tree
Manuel Macias RGB_2_0_6879_4000_10879.png,1741.815674,1618.417603,1963.352661,1860.209595,Tree
Nestor Macias RGB_2_0_7600_4000_11600.png,1373.456665,903.4796143,1628.693237,1148.460327,Tree
Leonor Aspiazu RGB_3_0_9855_4000_13855.png,1484.867432,60.00139999,1955.621826,550.7417603,Tree
Carlos Vera Arteaga RGB_6_3800_7600_7800_11600.png,3326.556152,322.6510925,3573.834473,555.5269775,Tree
Manuel Macias RGB_8_7600_6879_11600_10879.png,205.2678223,287.2400818,417.7892151,514.132019,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,1886.9552,1285.008789,2413.929199,1847.884766,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,67.94432831,1840.056641,294.814209,2077.896729,Tree
Flora Pluas RGB_11_7600_3800_11600_7800.png,1587.96228,207.9619904,1903.19812,535.7093506,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,2576.977783,2607.718262,2760.949951,2782.876221,Tree
Carlos Vera Arteaga RGB_0_0_0_4000_4000.png,3800.331543,2234.531006,3986.732666,2430.165527,Tree
Nestor Macias RGB_6_3800_7600_7800_11600.png,3537.644531,3620.509033,3907.135498,3987.156738,Tree
Leonor Aspiazu RGB_14_11400_7600_15400_11600.png,35.29644775,3188.191406,427.3006897,3628.278809,Tree
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,289.7773438,1570.390015,562.2967529,1841.12146,Tree
Leonor Aspiazu RGB_10_7600_7600_11600_11600.png,463.6748962,2421.526123,618.1252441,2585.403809,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,3579.603027,1193.879761,3808.826416,1423.979614,Tree
Carlos Vera Arteaga RGB_1_0_3800_4000_7800.png,2014.412231,2414.171631,2249.465332,2650.143311,Tree
Flora Pluas RGB_11_7600_3800_11600_7800.png,2072.376465,3081.30249,2308.705322,3341.371826,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,2661.483398,3360.782959,2895.237305,3588.077637,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3337.922363,2350.976563,3493.387695,2495.935059,Tree
Carlos Vera Guevara RGB_9_7600_3800_11600_7800.png,1091.167236,162.2714539,1286.266968,351.3371277,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,3566.315186,3031.019043,3854.458984,3304.52124,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,975.651001,2489.932373,1155.080933,2665.806885,Tree
Leonor Aspiazu RGB_4_3800_0_7800_4000.png,3753.435059,1925.415283,3994.217285,2407.619141,Tree
Nestor Macias RGB_8_7600_0_11600_4000.png,2636.237061,1292.959229,2866.454346,1538.388306,Tree
Carlos Vera Arteaga RGB_2_0_7600_4000_11600.png,3027.348633,916.2494507,3226.906738,1112.280151,Tree
Nestor Macias RGB_5_3800_3800_7800_7800.png,2307.295898,2234.561523,2546.766602,2485.236328,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3229.361572,986.8536377,3391.152588,1141.065796,Tree
Manuel Macias RGB_2_0_6879_4000_10879.png,2710.173096,1324.545532,2934.359375,1554.888794,Tree
Flora Pluas RGB_1_0_3800_4000_7800.png,1028.242676,1958.671143,1333.484619,2274.23999,Tree
Leonor Aspiazu RGB_17_13134_3800_17134_7800.png,487.6526184,2663.2146,852.4528198,3036.750732,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,2025.44519,3127.650635,2632.61377,3739.695313,Tree
Nestor Macias RGB_1_0_3800_4000_7800.png,1213.342163,2644.999023,1406.595093,2850.383057,Tree
Nestor Macias RGB_7_3800_9024_7800_13024.png,159.8390656,9.157352924,468.9326782,201.7022552,Tree
Nestor Macias RGB_6_3800_7600_7800_11600.png,484.118988,1458.296509,709.5996704,1689.394287,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,3553.063721,299.1271057,3811.217529,540.6945801,Tree
Flora Pluas RGB_14_7600_11578_11600_15578.png,2603.489746,240.1778259,2852.480225,480.9509888,Tree
Manuel Macias RGB_1_0_3800_4000_7800.png,573.5613403,392.3543091,906.2859497,736.1079102,Tree
Nestor Macias RGB_10_7600_7600_11600_11600.png,1151.869995,17.69427299,1403.077881,256.2797241,Tree
Leonor Aspiazu RGB_16_13134_0_17134_4000.png,1176.495728,1640.081299,1418.787354,1883.344238,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,3399.606201,557.0253296,3610.205566,789.5422974,Tree
Flora Pluas RGB_6_3800_3800_7800_7800.png,1686.847412,2340.393066,2024.062622,2687.958984,Tree
Flora Pluas RGB_8_3800_11400_7800_15400.png,1310.913208,1263.467651,1693.803223,1664.104126,Tree
Carlos Vera Guevara RGB_13_8425_3800_12425_7800.png,3.0,1277.033447,537.0667725,2201.664795,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,1011.452759,3012.998047,1248.932617,3250.066406,Tree
Nestor Macias RGB_14_11003_7600_15003_11600.png,2052.983398,491.8367615,2299.830078,751.8269043,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,3129.10791,1636.219971,3357.662598,1886.825684,Tree
Flora Pluas RGB_17_11400_7600_15400_11600.png,1121.201294,1463.026978,1444.141968,1773.681519,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,1666.072632,1413.951538,1945.778809,1700.690918,Tree
Flora Pluas RGB_13_7600_11400_11600_15400.png,1467.053711,964.3023682,1779.966553,1312.83252,Tree
Carlos Vera Guevara RGB_9_7600_3800_11600_7800.png,1212.348755,1073.865112,1448.911865,1270.668091,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,642.1557617,2188.815186,887.1751099,2420.685791,Tree
Nestor Macias RGB_2_0_7600_4000_11600.png,2055.92334,132.3879547,2271.635254,364.8397522,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,1917.79248,2469.234131,2141.802734,2712.541016,Tree
Nestor Macias RGB_5_3800_3800_7800_7800.png,3859.941406,669.4152832,3994.649414,948.3623657,Tree
Flora Pluas RGB_12_7600_7600_11600_11600.png,3314.93335,1373.051636,3577.985107,1641.181885,Tree
Leonor Aspiazu RGB_1_0_3800_4000_7800.png,2604.97168,2128.461426,3187.57373,2650.174805,Tree
Carlos Vera Arteaga RGB_1_0_3800_4000_7800.png,1695.830444,9.218560219,1949.299927,171.6180267,Tree
Nestor Macias RGB_1_0_3800_4000_7800.png,2620.631592,701.3395386,2834.871826,890.9086304,Tree
Flora Pluas RGB_9_3800_11578_7800_15578.png,2004.806396,100.3734665,2305.047607,431.1351013,Tree
Carlos Vera Arteaga RGB_4_3800_0_7800_4000.png,5.378027916,2016.710449,109.8365707,2264.458008,Tree
Leonor Aspiazu RGB_6_3800_7600_7800_11600.png,389.680542,815.4090576,613.6032104,1011.493835,Tree
Flora Pluas RGB_20_12782_0_16782_4000.png,114.181076,1753.645874,480.8487549,2147.200439,Tree
Carlos Vera Arteaga RGB_2_0_7600_4000_11600.png,1295.120605,9.936794281,1501.712402,193.3276672,Tree
Manuel Macias RGB_8_7600_6879_11600_10879.png,2930.007568,3508.439941,3181.057373,3723.866455,Tree
Nestor Macias RGB_9_7600_3800_11600_7800.png,1680.413818,654.5549316,2068.551025,1024.409546,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,960.3253784,3007.881348,1144.250977,3196.027588,Tree
Flora Pluas RGB_12_7600_7600_11600_11600.png,42.37472916,871.2119751,321.0148315,1142.418701,Tree
Carlos Vera Guevara RGB_6_3800_7600_7800_11600.png,2363.26123,437.7933044,2561.062012,619.2349243,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,2712.908691,1258.214722,2941.94165,1482.144531,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,2263.42041,739.5123901,2427.83374,913.8099976,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,659.7851563,947.6534424,834.3148804,1138.743774,Tree
Carlos Vera Arteaga RGB_14_11297_7600_15297_11600.png,910.0932007,2586.040527,1067.248413,2733.699463,Tree
Carlos Vera Arteaga RGB_10_7600_7600_11600_11600.png,3818.478027,758.2398682,3995.388428,973.6446533,Tree
Carlos Vera Arteaga RGB_13_11297_3800_15297_7800.png,898.234375,1800.864502,1083.435425,1972.776611,Tree
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,1731.517578,1947.874268,1886.860352,2096.144775,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,1504.771973,0.0,2124.827637,495.460022,Tree
Flora Pluas RGB_21_12782_3800_16782_7800.png,606.4674072,3078.250732,926.9956665,3411.886963,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3301.425537,1694.046021,3460.896484,1855.563721,Tree
Nestor Macias RGB_8_7600_0_11600_4000.png,2833.200928,3795.322021,3180.229736,3992.203857,Tree
Flora Pluas RGB_13_7600_11400_11600_15400.png,1174.956543,469.4933777,1613.705078,941.5814209,Tree
Manuel Macias RGB_1_0_3800_4000_7800.png,3691.506348,1947.098633,3849.865967,2121.481201,Tree
Manuel Macias RGB_0_0_0_4000_4000.png,1672.149658,1320.770386,2323.417725,1909.063721,Tree
Leonor Aspiazu RGB_9_7600_3800_11600_7800.png,219.5860291,1172.581665,476.0261841,1450.500732,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,992.9546509,441.6576233,1147.487549,580.3199463,Tree
Carlos Vera Guevara RGB_2_0_7600_4000_11600.png,1946.498535,2022.49231,2110.418701,2199.606445,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,3276.300537,2943.852539,3507.438721,3176.611816,Tree
Nestor Macias RGB_6_3800_7600_7800_11600.png,2246.309082,2237.623535,2446.242432,2444.053223,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,2158.17041,3034.589844,2336.702881,3217.415771,Tree
Flora Pluas RGB_1_0_3800_4000_7800.png,232.0359955,1494.581909,533.2005005,1800.450928,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,3421.396729,1571.999756,3577.208008,1729.508057,Tree
Manuel Macias RGB_0_0_0_4000_4000.png,2397.74707,3601.624756,2900.901367,3994.374756,Tree
Flora Pluas RGB_17_11400_7600_15400_11600.png,915.9554443,3751.84082,1271.881592,4000.0,Tree
Manuel Macias RGB_8_7600_6879_11600_10879.png,1157.745117,1910.315674,1388.732178,2162.90918,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,125.1738892,489.8236389,344.7760315,704.3973389,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,2354.958984,597.3817749,2506.466797,774.5641479,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,1599.678589,2428.948486,1780.353394,2616.454102,Tree
Flora Pluas RGB_9_3800_11578_7800_15578.png,2118.959717,3480.917725,2387.141113,3738.059326,Tree
Nestor Macias RGB_6_3800_7600_7800_11600.png,3321.977539,1439.069336,3614.173584,1740.854492,Tree
Manuel Macias RGB_2_0_6879_4000_10879.png,2963.839355,2082.518311,3212.300781,2373.773193,Tree
Leonor Aspiazu RGB_10_7600_7600_11600_11600.png,3183.261719,35.64283752,3434.117676,295.388916,Tree
Carlos Vera Arteaga RGB_1_0_3800_4000_7800.png,1464.907349,1783.643677,1694.938599,2018.76709,Tree
Flora Pluas RGB_17_11400_7600_15400_11600.png,267.8067017,1169.777588,458.0275574,1378.192261,Tree
Flora Pluas RGB_13_7600_11400_11600_15400.png,814.8967896,2905.946289,1164.669678,3293.567383,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,2686.044922,949.6142578,2892.691406,1109.20459,Tree
Flora Pluas RGB_6_3800_3800_7800_7800.png,577.5423584,2575.331055,900.6112061,2928.629639,Tree
Flora Pluas RGB_9_3800_11578_7800_15578.png,3097.821289,0.0,3446.82959,321.3743591,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,2986.062744,3231.239746,3205.850586,3471.31543,Tree
Flora Pluas RGB_6_3800_3800_7800_7800.png,1719.627808,3067.21167,2014.700928,3362.215576,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,3281.006836,924.9562988,3835.034668,1433.599976,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,2331.4729,3622.717041,2514.525879,3795.427734,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,530.942749,1564.318848,795.2728882,1791.794312,Tree
Flora Pluas RGB_6_3800_3800_7800_7800.png,3216.84375,3548.540039,3599.260742,3984.225098,Tree
Leonor Aspiazu RGB_2_0_7600_4000_11600.png,2730.820801,1549.978271,2913.922607,1746.279785,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,3194.376709,101.0783005,3415.249268,342.4719849,Tree
Flora Pluas RGB_16_11400_3800_15400_7800.png,858.946228,1701.548584,1123.452515,1973.695313,Tree
Leonor Aspiazu RGB_6_3800_7600_7800_11600.png,1306.050415,2309.901123,1701.97229,2717.215332,Tree
Flora Pluas RGB_12_7600_7600_11600_11600.png,1163.074097,2458.566895,1520.225098,2836.485596,Tree
Nestor Macias RGB_8_7600_0_11600_4000.png,1768.353394,1337.999268,2016.887329,1573.038574,Tree
Nestor Macias RGB_1_0_3800_4000_7800.png,3211.831543,1493.852539,3408.704346,1673.600098,Tree
Flora Pluas RGB_12_7600_7600_11600_11600.png,415.7617188,3222.419189,726.8987427,3553.357178,Tree
Leonor Aspiazu RGB_11_7600_9855_11600_13855.png,979.2208862,2037.520264,1232.07019,2300.929932,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,2626.070557,2934.834473,2800.189453,3113.409424,Tree
Nestor Macias RGB_13_11003_3800_15003_7800.png,705.7177124,1781.091431,1178.775269,2270.69873,Tree
Nestor Macias RGB_8_7600_0_11600_4000.png,2925.6875,1269.647095,3193.880859,1531.757813,Tree
Flora Pluas RGB_9_3800_11578_7800_15578.png,3329.56543,2965.560059,3667.387939,3331.875244,Tree
Nestor Macias RGB_5_3800_3800_7800_7800.png,1769.790894,1751.841919,2077.813232,2072.394775,Tree
Leonor Aspiazu RGB_5_3800_3800_7800_7800.png,3295.127197,2138.748047,3630.599121,2463.974365,Tree
Nestor Macias RGB_1_0_3800_4000_7800.png,2223.270752,1614.12146,2429.869385,1811.71875,Tree
Carlos Vera Arteaga RGB_2_0_7600_4000_11600.png,370.1116028,2361.430176,695.5484009,2617.65625,Tree
Flora Pluas RGB_21_12782_3800_16782_7800.png,2430.273926,1995.488159,2775.521484,2383.651611,Tree
Carlos Vera Arteaga RGB_14_11297_7600_15297_11600.png,322.6916504,1029.790771,587.2276001,1297.301392,Tree
Leonor Aspiazu RGB_5_3800_3800_7800_7800.png,291.2698975,1435.790894,752.7360229,1891.94397,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,3436.680908,2817.815918,3660.563232,3050.991699,Tree
Manuel Macias RGB_3_3800_0_7800_4000.png,1520.246582,1636.827271,2028.847534,2158.900391,Tree
Leonor Aspiazu RGB_7_3800_9855_7800_13855.png,1522.988281,3251.450439,1894.707764,3644.333496,Tree
Nestor Macias RGB_7_3800_9024_7800_13024.png,1963.933228,1275.976196,2159.486084,1496.312988,Tree
Nestor Macias RGB_9_7600_3800_11600_7800.png,2326.571533,0.0,2720.37085,331.649292,Tree
Flora Pluas RGB_21_12782_3800_16782_7800.png,2283.090088,3720.772705,2725.906738,3995.38623,Tree
Flora Pluas RGB_10_7600_0_11600_4000.png,1691.483032,2594.46582,1907.318604,2799.049072,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3340.922363,2353.976563,3491.387695,2493.935059,Tree
Carlos Vera Guevara RGB_8_7600_0_11600_4000.png,1930.4104,1656.818848,2208.281738,1899.003296,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,83.29618073,718.1112061,312.4403076,955.5671387,Tree
Flora Pluas RGB_2_0_7600_4000_11600.png,2139.679932,1695.655518,2399.784912,1951.747559,Tree
Flora Pluas RGB_22_12782_7600_16782_11600.png,379.3871155,2580.68457,552.2750244,2734.820801,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,3279.300537,2946.852539,3505.438721,3174.611816,Tree
Carlos Vera Guevara RGB_6_3800_7600_7800_11600.png,1809.937744,1829.335938,1994.789429,2015.091553,Tree
Nestor Macias RGB_11_7600_9024_11600_13024.png,3018.688232,1546.919434,3272.281738,1781.073608,Tree
Flora Pluas RGB_9_3800_11578_7800_15578.png,810.7911377,2932.766357,1164.14209,3253.175293,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,2986.12207,1173.90564,3146.775879,1344.502808,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,1283.493774,2280.772217,1623.598877,2691.454834,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,1601.444336,314.42099,1837.526367,550.876709,Tree
Leonor Aspiazu RGB_10_7600_7600_11600_11600.png,577.5931396,507.1022034,827.4726563,730.5725098,Tree
Manuel Macias RGB_8_7600_6879_11600_10879.png,3005.380859,1050.494629,3194.294189,1260.978882,Tree
Nestor Macias RGB_5_3800_3800_7800_7800.png,1146.569214,1045.841919,1366.480957,1269.046631,Tree
Nestor Macias RGB_8_7600_0_11600_4000.png,2838.092041,2054.403076,3137.526611,2374.765625,Tree
Leonor Aspiazu RGB_5_3800_3800_7800_7800.png,3544.71167,1157.923218,3891.554443,1512.000122,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,3875.062744,2478.069336,3994.946533,2680.274658,Tree
Carlos Vera Guevara RGB_1_0_3800_4000_7800.png,3095.063965,3199.0354,3510.920654,3597.09082,Tree
Carlos Vera Arteaga RGB_4_3800_0_7800_4000.png,657.1167603,1142.935791,1007.924377,1473.811035,Tree
Leonor Aspiazu RGB_5_3800_3800_7800_7800.png,427.1821899,3113.006592,766.2272339,3481.761475,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,2018.613281,3283.01123,2241.354492,3517.281738,Tree
Nestor Macias RGB_4_3800_0_7800_4000.png,135.6220093,2350.892334,391.5733337,2653.790283,Tree
Flora Pluas RGB_1_0_3800_4000_7800.png,1642.260132,342.2077026,1898.831665,611.6677856,Tree
Leonor Aspiazu RGB_1_0_3800_4000_7800.png,3449.589111,3173.532959,3990.211182,3897.530762,Tree
Manuel Macias RGB_4_3800_3800_7800_7800.png,1147.404541,1961.807129,1398.083374,2217.503418,Tree
Leonor Aspiazu RGB_10_7600_7600_11600_11600.png,1124.987183,3826.011719,1331.056152,3995.047363,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,1708.009033,3072.803223,1934.143921,3311.114502,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,1016.814941,1089.6698,1189.738159,1267.75061,Tree
Leonor Aspiazu RGB_8_7600_0_11600_4000.png,1105.186035,2626.294922,1535.017578,3024.315674,Tree
Flora Pluas RGB_11_7600_3800_11600_7800.png,3820.549072,3483.063721,4000.0,3694.922852,Tree
Nestor Macias RGB_4_3800_0_7800_4000.png,2518.073975,1829.694946,2732.831787,2041.179443,Tree
Leonor Aspiazu RGB_2_0_7600_4000_11600.png,3657.076172,2385.734131,3896.087402,2563.92334,Tree
Carlos Vera Guevara RGB_3_0_8305_4000_12305.png,1431.874878,478.5755615,1585.928223,621.1022949,Tree
Leonor Aspiazu RGB_6_3800_7600_7800_11600.png,565.9926147,939.237915,981.3619995,1322.630249,Tree
Flora Pluas RGB_8_3800_11400_7800_15400.png,751.7670898,3538.19458,1085.672729,3882.337891,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,3228.814209,2660.522217,3552.072754,3001.849121,Tree
Leonor Aspiazu RGB_8_7600_0_11600_4000.png,3450.179932,3787.134277,3853.574463,3992.02417,Tree
Carlos Vera Guevara RGB_6_3800_7600_7800_11600.png,2579.526855,191.9705811,2755.538086,346.5187073,Tree
Nestor Macias RGB_4_3800_0_7800_4000.png,3336.994141,1936.024292,3574.975586,2182.71167,Tree
Nestor Macias RGB_14_11003_7600_15003_11600.png,871.7557983,559.5374146,1105.14856,811.4996948,Tree
Carlos Vera Guevara RGB_0_0_0_4000_4000.png,2497.074951,2285.015625,2679.671387,2489.982178,Tree
Leonor Aspiazu RGB_13_11400_3800_15400_7800.png,1039.652344,2266.15332,1401.987915,2621.886963,Tree
Nestor Macias RGB_11_7600_9024_11600_13024.png,1186.637085,1667.24939,1487.670898,1966.743164,Tree
Manuel Macias RGB_7_7600_3800_11600_7800.png,4.055795193,532.3552856,211.9136047,924.5526733,Tree
Manuel Macias RGB_8_7600_6879_11600_10879.png,529.4650269,1924.726563,1135.989624,2635.71875,Tree
Carlos Vera Arteaga RGB_5_3800_3800_7800_7800.png,766.4292603,9.631227493,983.885376,186.7100983,Tree
Carlos Vera Guevara RGB_6_3800_7600_7800_11600.png,1632.778198,961.565979,1852.495361,1172.912842,Tree
Carlos Vera Arteaga RGB_13_11297_3800_15297_7800.png,1019.454468,2537.686523,1183.119995,2697.304443,Tree
